FIPS,State,MSA code (with divisions),MSA name (with MSA divisions),Aggregate MSA code,Aggregate MSA name,County code,Township code,County name,Township name
01,Alabama,  11500,"Anniston-Oxford, AL",,,015,000,Calhoun County,
01,Alabama,  12220,"Auburn-Opelika, AL",,,081,000,Lee County,
01,Alabama,  13820,"Birmingham-Hoover, AL",,,007,000,Bibb County,
01,Alabama,  13820,"Birmingham-Hoover, AL",,,009,000,Blount County,
01,Alabama,  13820,"Birmingham-Hoover, AL",,,021,000,Chilton County,
01,Alabama,  13820,"Birmingham-Hoover, AL",,,073,000,Jefferson County,
01,Alabama,  13820,"Birmingham-Hoover, AL",,,115,000,St. Clair County,
01,Alabama,  13820,"Birmingham-Hoover, AL",,,117,000,Shelby County,
01,Alabama,  13820,"Birmingham-Hoover, AL",,,127,000,Walker County,
01,Alabama,  17980,"Columbus, GA-AL",,,113,000,"Russell County, AL",
01,Alabama,  19460,"Decatur, AL",,,079,000,Lawrence County,
01,Alabama,  19460,"Decatur, AL",,,103,000,Morgan County,
01,Alabama,  20020,"Dothan, AL",,,061,000,Geneva County,
01,Alabama,  20020,"Dothan, AL",,,067,000,Henry County,
01,Alabama,  20020,"Dothan, AL",,,069,000,Houston County,
01,Alabama,  22520,"Florence-Muscle Shoals, AL",,,033,000,Colbert County,
01,Alabama,  22520,"Florence-Muscle Shoals, AL",,,077,000,Lauderdale County,
01,Alabama,  23460,"Gadsden, AL",,,055,000,Etowah County,
01,Alabama,  26620,"Huntsville, AL",,,083,000,Limestone County,
01,Alabama,  26620,"Huntsville, AL",,,089,000,Madison County,
01,Alabama,  33660,"Mobile, AL",,,097,000,Mobile County,
01,Alabama,  33860,"Montgomery, AL",,,001,000,Autauga County,
01,Alabama,  33860,"Montgomery, AL",,,051,000,Elmore County,
01,Alabama,  33860,"Montgomery, AL",,,085,000,Lowndes County,
01,Alabama,  33860,"Montgomery, AL",,,101,000,Montgomery County,
01,Alabama,0100002,Northeast Alabama nonmetropolitan area,,,017,000,Chambers County,
01,Alabama,0100002,Northeast Alabama nonmetropolitan area,,,019,000,Cherokee County,
01,Alabama,0100002,Northeast Alabama nonmetropolitan area,,,027,000,Clay County,
01,Alabama,0100002,Northeast Alabama nonmetropolitan area,,,029,000,Cleburne County,
01,Alabama,0100002,Northeast Alabama nonmetropolitan area,,,037,000,Coosa County,
01,Alabama,0100002,Northeast Alabama nonmetropolitan area,,,049,000,DeKalb County,
01,Alabama,0100002,Northeast Alabama nonmetropolitan area,,,071,000,Jackson County,
01,Alabama,0100002,Northeast Alabama nonmetropolitan area,,,095,000,Marshall County,
01,Alabama,0100002,Northeast Alabama nonmetropolitan area,,,111,000,Randolph County,
01,Alabama,0100002,Northeast Alabama nonmetropolitan area,,,121,000,Talladega County,
01,Alabama,0100002,Northeast Alabama nonmetropolitan area,,,123,000,Tallapoosa County,
01,Alabama,0100001,Northwest Alabama nonmetropolitan area,,,043,000,Cullman County,
01,Alabama,0100001,Northwest Alabama nonmetropolitan area,,,057,000,Fayette County,
01,Alabama,0100001,Northwest Alabama nonmetropolitan area,,,059,000,Franklin County,
01,Alabama,0100001,Northwest Alabama nonmetropolitan area,,,075,000,Lamar County,
01,Alabama,0100001,Northwest Alabama nonmetropolitan area,,,093,000,Marion County,
01,Alabama,0100001,Northwest Alabama nonmetropolitan area,,,107,000,Pickens County,
01,Alabama,0100001,Northwest Alabama nonmetropolitan area,,,133,000,Winston County,
01,Alabama,0100004,Southeast Alabama nonmetropolitan area,,,005,000,Barbour County,
01,Alabama,0100004,Southeast Alabama nonmetropolitan area,,,011,000,Bullock County,
01,Alabama,0100004,Southeast Alabama nonmetropolitan area,,,013,000,Butler County,
01,Alabama,0100004,Southeast Alabama nonmetropolitan area,,,031,000,Coffee County,
01,Alabama,0100004,Southeast Alabama nonmetropolitan area,,,039,000,Covington County,
01,Alabama,0100004,Southeast Alabama nonmetropolitan area,,,041,000,Crenshaw County,
01,Alabama,0100004,Southeast Alabama nonmetropolitan area,,,045,000,Dale County,
01,Alabama,0100004,Southeast Alabama nonmetropolitan area,,,087,000,Macon County,
01,Alabama,0100004,Southeast Alabama nonmetropolitan area,,,109,000,Pike County,
01,Alabama,0100003,Southwest Alabama nonmetropolitan area,,,003,000,Baldwin County,
01,Alabama,0100003,Southwest Alabama nonmetropolitan area,,,023,000,Choctaw County,
01,Alabama,0100003,Southwest Alabama nonmetropolitan area,,,025,000,Clarke County,
01,Alabama,0100003,Southwest Alabama nonmetropolitan area,,,035,000,Conecuh County,
01,Alabama,0100003,Southwest Alabama nonmetropolitan area,,,047,000,Dallas County,
01,Alabama,0100003,Southwest Alabama nonmetropolitan area,,,053,000,Escambia County,
01,Alabama,0100003,Southwest Alabama nonmetropolitan area,,,091,000,Marengo County,
01,Alabama,0100003,Southwest Alabama nonmetropolitan area,,,099,000,Monroe County,
01,Alabama,0100003,Southwest Alabama nonmetropolitan area,,,105,000,Perry County,
01,Alabama,0100003,Southwest Alabama nonmetropolitan area,,,119,000,Sumter County,
01,Alabama,0100003,Southwest Alabama nonmetropolitan area,,,129,000,Washington County,
01,Alabama,0100003,Southwest Alabama nonmetropolitan area,,,131,000,Wilcox County,
01,Alabama,  46220,"Tuscaloosa, AL",,,063,000,Greene County,
01,Alabama,  46220,"Tuscaloosa, AL",,,065,000,Hale County,
01,Alabama,  46220,"Tuscaloosa, AL",,,125,000,Tuscaloosa County,
02,Alaska,  11260,"Anchorage, AK",,,020,000,Anchorage Borough,
02,Alaska,  11260,"Anchorage, AK",,,170,000,Matanuska-Susitna Borough,
02,Alaska,  21820,"Fairbanks, AK",,,090,000,Fairbanks North Star Borough,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,013,000,Aleutians East Borough,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,016,000,Aleutians West Census Area,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,050,000,Bethel Census Area,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,060,000,Bristol Bay Borough,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,068,000,Denali Borough,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,070,000,Dillingham Census Area,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,122,000,Kenai Peninsula Borough,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,150,000,Kodiak Island Borough,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,164,000,Lake and Peninsula Borough,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,180,000,Nome Census Area,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,185,000,North Slope Borough,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,188,000,Northwest Arctic Borough,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,240,000,Southeast Fairbanks Census Area,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,261,000,Valdez-Cordova Census Area,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,270,000,Wade Hampton Census Area,
02,Alaska,0200002,Railbelt / Southwest Alaska nonmetropolitan area,,,290,000,Yukon-Koyukuk Census Area,
02,Alaska,0200001,Southeast Alaska nonmetropolitan area,,,100,000,Haines Borough,
02,Alaska,0200001,Southeast Alaska nonmetropolitan area,,,110,000,Juneau Borough,
02,Alaska,0200001,Southeast Alaska nonmetropolitan area,,,130,000,Ketchikan Gateway Borough,
02,Alaska,0200001,Southeast Alaska nonmetropolitan area,,,195,000,Petersburg,
02,Alaska,0200001,Southeast Alaska nonmetropolitan area,,,198,000,Prince of Wales-Hyder,
02,Alaska,0200001,Southeast Alaska nonmetropolitan area,,,220,000,Sitka Borough,
02,Alaska,0200001,Southeast Alaska nonmetropolitan area,,,105,000,Hoonah-angoon,
02,Alaska,0200001,Southeast Alaska nonmetropolitan area,,,230,000,Skagway,
02,Alaska,0200001,Southeast Alaska nonmetropolitan area,,,275,000,Wrangell,
02,Alaska,0200001,Southeast Alaska nonmetropolitan area,,,282,000,Yakutat Borough,
04,Arizona,  22380,"Flagstaff, AZ",,,005,000,"Coconino County, AZ",
04,Arizona,  29420,"Lake Havasu City-Kingman, AZ",,,015,000,"Mohave County, AZ",
04,Arizona,0400001,North Arizona nonmetropolitan area,,,001,000,Apache County,
04,Arizona,0400001,North Arizona nonmetropolitan area,,,007,000,Gila County,
04,Arizona,0400001,North Arizona nonmetropolitan area,,,012,000,La Paz County,
04,Arizona,0400001,North Arizona nonmetropolitan area,,,017,000,Navajo County,
04,Arizona,  38060,"Phoenix-Mesa-Glendale, AZ",,,013,000,Maricopa County,
04,Arizona,  38060,"Phoenix-Mesa-Glendale, AZ",,,021,000,Pinal County,
04,Arizona,  39140,"Prescott, AZ",,,025,000,Yavapai County,
04,Arizona,0400002,Southeast Arizona nonmetropolitan area,,,003,000,Cochise County,
04,Arizona,0400002,Southeast Arizona nonmetropolitan area,,,009,000,Graham County,
04,Arizona,0400002,Southeast Arizona nonmetropolitan area,,,011,000,Greenlee County,
04,Arizona,0400002,Southeast Arizona nonmetropolitan area,,,023,000,Santa Cruz County,
04,Arizona,  46060,"Tucson, AZ",,,019,000,Pima County,
04,Arizona,  49740,"Yuma, AZ",,,027,000,Yuma County,
